40,88
7,41
48,25
24,15
3,29
59,12
1,67
99,53
53,37
84,91
15,36
91,97
92,11
55,97
65,6
15,8
98,44
16,75
38,88
94,91
9,61
80,81
89,53
49,35
10,52
82,63
61,63
94,34
80,31
8,41
36,16
44,64
44,98
57,59
54,99
31,37
40,97
66,61
73,23
95,61
57,71
11,31
47,14
85,23
23,31
84,26
13,35
51,24
97,63
6,73
72,5
66,10
7,92
84,68
83,85
84,14
94,31
37,23
2,99
73,28
68,78
78,72
83,25
67,54
66,94
86,96
12,9
8,97
19,18
72,5
33,99
52,18
56,31
69,55
36,37
57,37
16,14
24,54
25,93
52,73
63,48
63,65
50,81
40,22
16,73
5,26
70,46
8,1
32,27
55,35
79,39
98,91
2,27
13,41
61,2
59,46
15,41
7,40
15,88
42,45
53,94
70,41
66,4
23,16
18,89
75,86
86,79
75,97
67,54
32,73
55,90
40,24
39,84
68,21
77,90
15,67
11,75
93,31
69,22
57,62
81,94
93,73
85,44
8,40
79,67
31,26
5,28
57,35
18,77
68,59
2,67
70,83
2,24
68,23
100,48
35,95
90,9
20,48
61,66
54,82
62,1
76,87
72,39
60,19
86,37
88,76
21,50
24,2
97,16
24,67
13,6
96,4
73,79
86,51
